,state,zipcode,total_income
769,AL,35458,2438.0
770,AL,35458,2768.0001
771,AL,35458,2847.0001
772,AL,35458,2927.0001
774,AL,35459,1877.0001
775,AL,35459,3998.0
776,AL,35459,3889.0
778,AL,35459,2681.0001
780,AL,35460,1922.0
781,AL,35460,2311.0
782,AL,35460,3171.0001
786,AL,35461,3473.0
787,AL,35461,6809.0
788,AL,35461,6550.0
789,AL,35461,5347.0001
790,AL,35461,11535.0
792,AL,35462,13866.0
793,AL,35462,18803.0
794,AL,35462,9946.0
795,AL,35462,7122.0
796,AL,35462,16766.0
798,AL,35463,4064.0
799,AL,35463,8049.0
800,AL,35463,7909.0
801,AL,35463,6714.0001
802,AL,35463,18107.0
804,AL,35464,1382.0
805,AL,35464,1564.0001
806,AL,35464,2169.0001
810,AL,35466,9808.0
811,AL,35466,21892.0
812,AL,35466,22114.0
813,AL,35466,19921.0
814,AL,35466,39185.0
815,AL,35466,19724.0001
816,AL,35469,851.0
817,AL,35469,2245.0
819,AL,35469,2429.0
822,AL,35470,11700.0
823,AL,35470,15784.0
824,AL,35470,11943.0
825,AL,35470,10714.0
826,AL,35470,21154.0
827,AL,35470,11714.0001
828,AL,35473,29361.0
829,AL,35473,69201.0
830,AL,35473,73181.0
831,AL,35473,72503.0
832,AL,35473,148141.0
833,AL,35473,62165.0
834,AL,35474,15488.0
835,AL,35474,30643.0
836,AL,35474,28657.0
837,AL,35474,24752.0
838,AL,35474,46710.0
839,AL,35474,15154.0001
840,AL,35475,22090.0
841,AL,35475,51038.0
842,AL,35475,66108.0
843,AL,35475,82450.0
844,AL,35475,236842.0
845,AL,35475,169388.0
846,AL,35476,21483.0
847,AL,35476,38278.0
848,AL,35476,29094.0
849,AL,35476,16488.0
850,AL,35476,22558.0
851,AL,35476,26297.0
852,AL,35480,3075.0
853,AL,35480,7005.0
854,AL,35480,8351.0
855,AL,35480,7863.0001
856,AL,35480,17956.0
858,AL,35481,7836.0
859,AL,35481,13372.0
860,AL,35481,10367.0
861,AL,35481,8753.0
862,AL,35481,15837.0
864,AL,35490,6546.0
865,AL,35490,19365.0
866,AL,35490,21884.0
867,AL,35490,21905.0
868,AL,35490,40961.0
870,AL,35501,21105.0
871,AL,35501,37043.0
872,AL,35501,27886.0
873,AL,35501,23070.0
874,AL,35501,41483.0
875,AL,35501,20443.0
876,AL,35503,16451.0
877,AL,35503,31001.0
878,AL,35503,31011.0
879,AL,35503,26670.0
880,AL,35503,53990.0
881,AL,35503,19752.0001
882,AL,35504,20716.0
883,AL,35504,47938.0
884,AL,35504,46928.0
885,AL,35504,51620.0
886,AL,35504,114621.0
887,AL,35504,78407.0
888,AL,35540,4638.0
889,AL,35540,9704.0
890,AL,35540,10405.0
891,AL,35540,8758.0
892,AL,35540,13073.0
894,AL,35541,6269.0
895,AL,35541,12401.0
896,AL,35541,11240.0
897,AL,35541,11186.0
898,AL,35541,28105.0
899,AL,35541,23074.0
900,AL,35542,2213.0001
901,AL,35542,4664.0
902,AL,35542,3606.0001
903,AL,35542,4016.0
904,AL,35542,6244.0001
906,AL,35543,1809.0
907,AL,35543,4320.0
908,AL,35543,3562.0
909,AL,35543,2218.0001
910,AL,35543,5228.0001
912,AL,35544,1081.0
913,AL,35544,2704.0001
914,AL,35544,2518.0001
