state,zip_code,total_income
AL,35773,107110
AL,35773,53813
AL,35775,1348
AL,35775,4189
AL,35775,2171
AL,35775,1688
AL,35775,4176
AL,35776,7148
AL,35776,14715
AL,35776,13782
AL,35776,11311
AL,35776,15671
AL,35776,7960
AL,35801,32657
AL,35801,68474
AL,35801,85892
AL,35801,92780
AL,35801,312727
AL,35801,879700
AL,35802,42037
AL,35802,86085
AL,35802,93316
AL,35802,96308
AL,35802,333227
AL,35802,518472
AL,35803,45555
AL,35803,97199
AL,35803,124479
AL,35803,145954
AL,35803,454117
AL,35803,307987
AL,35805,64263
AL,35805,85649
AL,35805,37435
AL,35805,20030
AL,35805,21210
AL,35805,14036
AL,35806,43803
AL,35806,98001
AL,35806,123936
AL,35806,110241
AL,35806,357420
AL,35806,280114
AL,35808,1006
AL,35808,2072
AL,35808,3423
AL,35808,5417
AL,35808,21227
AL,35808,6087
AL,35810,93796
AL,35810,150598
AL,35810,93795
AL,35810,55313
AL,35810,79721
AL,35810,23289
AL,35811,55035
AL,35811,105071
AL,35811,120759
AL,35811,120294
AL,35811,324980
AL,35811,167955
AL,35816,46233
AL,35816,59668
AL,35816,27415
AL,35816,14776
AL,35816,20912
AL,35816,17024
AL,35824,14063
AL,35824,33562
AL,35824,45185
AL,35824,50721
AL,35824,161498
AL,35824,113708
AL,35901,43669
AL,35901,65716
AL,35901,54736
AL,35901,41537
AL,35901,93575
AL,35901,149651
AL,35903,43618
AL,35903,71167
AL,35903,62157
AL,35903,44488
AL,35903,63435
AL,35903,19562
AL,35904,33065
AL,35904,51472
AL,35904,43210
AL,35904,32082
AL,35904,38967
AL,35904,15153
AL,35905,12297
AL,35905,26333
AL,35905,26969
AL,35905,25211
AL,35905,40520
AL,35905,18015
AL,35906,20775
AL,35906,41145
AL,35906,39628
AL,35906,38157
AL,35906,71809
AL,35906,52240
AL,35907,14295
AL,35907,32214
AL,35907,41398
AL,35907,49538
AL,35907,91732
AL,35907,44539
AL,35950,50777
AL,35950,95759
AL,35950,67419
AL,35950,46935
AL,35950,72462
AL,35950,51888
AL,35951,31888
AL,35951,51601
AL,35951,39619
AL,35951,26845
AL,35951,39007
AL,35951,36065
AL,35952,14597
AL,35952,27555
AL,35952,25452
AL,35952,22122
AL,35952,28181
AL,35952,6493
AL,35953,14668
AL,35953,28982
AL,35953,29254
AL,35953,26639
AL,35953,46006
AL,35953,26540
AL,35954,28442
AL,35954,46871
AL,35954,40670
AL,35954,30323
AL,35954,33664
AL,35954,15517
AL,35956,18576
AL,35956,35452
AL,35956,29973
AL,35956,27951
AL,35956,43281
AL,35956,18040
AL,35957,35080
AL,35957,68427
AL,35957,49875
AL,35957,41356
AL,35957,60080
AL,35957,39564
AL,35958,5812
AL,35958,11811
AL,35958,11355
AL,35958,9408
AL,35958,20565
AL,35959,10452
AL,35959,16750
AL,35959,17229
AL,35959,15116
AL,35959,23259
AL,35959,13387
AL,35960,19662
AL,35960,35037
AL,35960,34153
AL,35960,32510
AL,35960,60762
AL,35960,25266
AL,35961,13442
AL,35961,25227
AL,35961,18809
AL,35961,11201
AL,35961,15385
AL,35961,7149
AL,35962,16239
AL,35962,28814
AL,35962,21959
AL,35962,15457
AL,35962,16710
AL,35962,10419
AL,35963,3531
AL,35963,6498
AL,35963,5739
AL,35963,4446
AL,35963,4969
AL,35966,6480
AL,35966,13856
AL,35966,13466
AL,35966,9576
AL,35966,19731
AL,35967,34450
AL,35967,67034
AL,35967,54551
AL,35967,39865
AL,35967,60058
AL,35967,49031
AL,35968,11748
AL,35968,22299
AL,35968,20699
AL,35968,17394
AL,35968,26995
AL,35968,20628
AL,35971,10495
AL,35971,18585
AL,35971,14212
AL,35971,12420
AL,35971,26763
AL,35972,2419
AL,35972,4811
